"Handle","Title","Body (HTML)","Vendor","Product Category","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Image Src","Image Position","Image Alt Text","Gift Card","SEO Title","SEO Description","Status"
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_ils_01.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",7,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_03.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",8,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_ils_02.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",9,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_04.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",10,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_mac_01.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",11,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_mac_02.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",12,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_mac_03.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",13,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_mac_04.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",14,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_liv_01.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",15,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_liv_02.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",16,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261_liv_03.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",17,,,,,
"2406261",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/2/4/2406261.jpg?optimize=high&fit=bounds&height=&width=&canvas=:",18,,,,,
"5528695","Lyon 4 Door Natural Rattan And Oak Sideboard","The Lyon sideboard effortlessly combines rustic charm and sophistication with a durable oak wood frame adorned with natural rattan inserts. This four door sideboard has a solid oak wood frame with woven rattan front panels exuding contemporary minimalism. Its clean lines and tapered legs add sophistication, while the four spacious compartments provide ample storage.","",,"","Abstract","TRUE",,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_-_web_size.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",,,,,,"active"
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_liv_06.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",2,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_01_-_web_size.jpg?optimize=high&fit=bounds&height=700&width=700&canvas=700:700",3,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",4,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_01_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",5,,,,,
"5528695",,,,,,,,,,,,,,"https://cdn.premierhousewares.com/media/catalog/product/5/5/5528695_02_-_web_size.jpg?optimize=high&fit=bounds&height=90&width=90&canvas=90:90",6,,,,,
